Crash_UID,AlcoholInvolved,AtIntersection,BicycleInvolved,Year,Quarter,Month,Day,CrashTime,CrashType,DayOfWeek,DaytimeNighttime_NHTSA,DistractedDriverInvolved,DistractedDriverInjuries,DriverTextingInvolved,DriverUsingCellPhone,FunctionalClassCode,Hour,IntersectionType,Jurisdiction,Sum of Latitude,Sum of Longitude,LocationTypeName,Meteorological Season,MonthName,MotorcycleInvolved,Number_Of_Fatalities,Number_Of_Injuries,PedestrianFatalities,PedestrianInjuries,PedestrianInvolved,RelationToRoadway_Category,RelationToRoadway_Value,RoadName,RouteName,SchoolZone,SecondaryLocation,Age,Gender,Age_Groups,Pedestrian_UID,PedestrianAction_Category,PedestrianAction_Value,PedestrianCondition,PedestrianDrinking_Category,PedestrianDrinking_Value,PedestrianInjuryType,PedestrianState,WearReflectiveClothing,Year,WorkZoneType,WorkZoneLocation,WeatherCondition,TrafficControlType,TownName,Single_Multi_Vehicle,TypeOfCollision,TrainRelated,SpeedRelated,TrafficControlMechanicalDevice,MileMarker,RouteNumber,RoadwayDescription,RoadwayAlignment,RoadwayDefect,RoadwaySurfaceCondition,Sum of NumberOfVehicles,SchoolZoneInvolved,WorkZoneRelated
c2360965,No,At Intersection,No,2022,Qtr 1,January,1,1899-12-30 18:47:00,Injury Crash,Saturday,Nighttime,No,0,No,No,Major Collector,18,Four Approaches,Newport News City,37.11438,-76.52725,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,UR-14E (CITY OF NEWPORT NEWS),EASTWOOD DR,No,COLONY RD,31,Male,21 - 35 Y.O.,ped2885353,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,1.36,14,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
c6136037,No,At Intersection,No,2022,Qtr 1,January,2,1899-12-30 17:30:00,Injury Crash,Sunday,Daytime,No,0,No,No,Other Principal Arterial,17,Three Approaches,Danville City,36.56639,-79.43959,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Within Intersection,BUS US-29S (1 CITY OF DANVILLE),MEMORIAL DR,No,MAIN ST,2,Male,under 15 Y.O.,ped3082540,Other,Other,Not Provided,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,Rain,No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,2.61,29,"Two-Way, Divided, Positive Median Barrier",Grade - Curve,No Defects,Wet,1,No,No
c2971432,No,At Intersection,No,2022,Qtr 1,January,2,1899-12-30 20:00:00,Fatal Crash,Sunday,Nighttime,No,0,No,No,Other Principal Arterial,20,Three Approaches,Gloucester County,37.39146,-76.52997,Rural,Winter,January,No,1,0,1,0,Yes,Intersection Area,Within Intersection,US-17S,GEORGE WASHINGTON MEMORIAL HWY,No,BEEHIVE DR,59,Male,51 - 64 Y.O.,ped3980095,Crossing At Intersection,Crossing At Intersection No Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Dead,VA,Yes,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,79.72,17,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Wet,1,No,No
c5229488,No,At Intersection,No,2022,Qtr 1,January,3,1899-12-30 06:01:00,Injury Crash,Monday,Daytime,No,0,No,No,Local,6,Three Approaches,Va. Beach City,36.82975,-76.18006,Urban,Winter,January,No,0,2,0,1,Yes,Interchange Area,Main-Line Roadway,CITATION DR (NP - CITY OF VIRGINIA BEACH),CITATION DR,No,WAR ADMIRAL RD,25,Male,21 - 35 Y.O.,ped8014003,Other,Other,Other,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,Rain,No Traffic Control,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,0.32,,"Two-Way, Not Divided",Straight - Level,No Defects,Wet,1,No,No
c0957806,No,At Intersection,No,2022,Qtr 1,January,3,1899-12-30 15:08:00,Injury Crash,Monday,Daytime,No,0,No,No,Other Principal Arterial,15,Four Approaches,Norfolk City,36.88634,-76.26017,Urban,Winter,January,No,0,2,0,1,Yes,Intersection Area,Intersection Related - Within 150 Feet,VA-168N,TIDEWATER DR,No,CROMWELL DR,19,Male,15 - 20 Y.O.,ped8204703,Crossing Not At Intersection,Crossing Not At Intersection – Urban,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,Snow,Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,26.33,168,"Two-Way, Not Divided",Straight - Level,No Defects,Wet,1,No,No
c8852311,No,At Intersection,No,2022,Qtr 1,January,4,1899-12-30 19:50:00,Injury Crash,Tuesday,Nighttime,No,0,No,No,Other Principal Arterial,19,Not at Intersection,Fairfax City,38.84882,-77.31453,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Non-Intersection,VA-236E,MAIN ST,No,YORKTOWN DR,33,Male,21 - 35 Y.O.,ped1237140,Crossing Not At Intersection,Crossing Not At Intersection – Urban,No Defects,Had Not Been Drinking,Had Not Been Drinking,Serious Injury,VA,No,2022,Not Provided,Not Provided,Snow,Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,No Traffic Control Device Present,0.68,236,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Snowy,1,No,No
c6970495,No,At Intersection,No,2022,Qtr 1,January,5,1899-12-30 14:15:00,Injury Crash,Wednesday,Daytime,No,0,No,No,Local,14,Not at Intersection,Alexandria City,38.81181,-77.0444,Urban,Winter,January,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,SAINT ASAPH ST S (PR - CITY OF ALEXANDRIA),SAINT ASAPH ST,No,WYTHE ST,59,Female,51 - 64 Y.O.,ped6107654,Walking In Roadway,Walking In Roadway With Traffic – Sidewalks Available,No Defects,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,MD,No,2022,Not Provided,Not Provided,Fog,Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,1.23,,"Two-Way, Not Divided",Straight - Level,No Defects,Slush,1,No,No
c5701973,No,At Intersection,No,2022,Qtr 1,January,6,1899-12-30 05:55:00,Injury Crash,Thursday,Nighttime,No,0,No,No,Minor Arterial,5,Four Approaches,Fairfax County,38.86131,-77.22736,Urban,Winter,January,No,0,1,0,1,Yes,Interchange Area,Main-Line Roadway,SC-650S (FAIRFAX COUNTY),GALLOWS RD,No,ANDERSON DR,54,Female,51 - 64 Y.O.,ped5200718,Crossing At Intersection,Crossing At Intersection With Signal,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,Snow,Traffic Signal,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.93,650,"Two-Way, Divided, Positive Median Barrier",Straight - Level,No Defects,Snowy,1,No,No
c9845093,No,At Intersection,No,2022,Qtr 1,January,6,1899-12-30 06:58:00,Injury Crash,Thursday,Daytime,Yes,0,No,No,Major Collector,6,Not at Intersection,Portsmouth City,36.79216,-76.3359,Urban,Winter,January,No,0,2,0,1,Yes,Other Location,Railway Grade Crossing,DEEP CREEK BLVD (NP - CITY OF PORTSMOUTH),DEEP CREEK BLVD,No,CLAREMONT DR,56,Male,51 - 64 Y.O.,ped6868363,Not In Roadway,Not In Roadway,No Defects,Had Not Been Drinking,Had Not Been Drinking,No Apparent Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,No,Yes - Working,2.74,,"Two-Way, Divided, Unprotected Median",Straight - Level,No Defects,Dry,1,No,No
c4338999,No,At Intersection,No,2022,Qtr 1,January,6,1899-12-30 19:07:00,Injury Crash,Thursday,Nighttime,Yes,0,No,No,Minor Arterial,19,Not at Intersection,Henrico County,37.54705,-77.32878,Urban,Winter,January,No,0,1,0,1,Yes,Intersection Area,Non-Intersection,VA-33E,NINE MILE RD,No,FERN AVE,33,Male,21 - 35 Y.O.,ped4525784,Other,Other,No Defects,Had Not Been Drinking,Had Not Been Drinking,Minor/Possible Injury,VA,No,2022,Not Provided,Not Provided,No Adverse Condition (Clear/Cloud),Traffic Lanes Marked,"",Single Vehicle Crashes,Pedestrian,No,Yes,Yes - Working,7.52,33,"Two-Way, Not Divided",Straight - Level,No Defects,Dry,1,No,No
